student_id,class_level,department,strength_level,term1_avg,term2_avg,term3_avg,session_avg,consistency_score,performance_trend,t1_Mathematics,t1_English_Language,t1_Basic_Science,t1_Social_Studies,t1_Civic_Education,t1_Physical_Education,t1_Cultural_and_Creative_Arts,t1_Computer_Studies,t1_Business_Studies,t1_Agricultural_Science,t1_Home_Economics,t1_French,t2_Mathematics,t2_English_Language,t2_Basic_Science,t2_Social_Studies,t2_Civic_Education,t2_Physical_Education,t2_Cultural_and_Creative_Arts,t2_Computer_Studies,t2_Business_Studies,t2_Agricultural_Science,t2_Home_Economics,t2_French,t3_Mathematics,t3_English_Language,t3_Basic_Science,t3_Social_Studies,t3_Civic_Education,t3_Physical_Education,t3_Cultural_and_Creative_Arts,t3_Computer_Studies,t3_Business_Studies,t3_Agricultural_Science,t3_Home_Economics,t3_French,science_aptitude_score,arts_aptitude_score,commercial_aptitude_score,best_subject,best_subject_score,weak_subject,weak_subject_score,grade_A_count,grade_B_count,grade_C_count,grade_D_count,grade_E_count,grade_F_count,career_path,t1_Physics,t1_Chemistry,t1_Biology,t1_Further_Mathematics,t1_Computer_Science,t1_Geography,t2_Physics,t2_Chemistry,t2_Biology,t2_Further_Mathematics,t2_Computer_Science,t2_Geography,t3_Physics,t3_Chemistry,t3_Biology,t3_Further_Mathematics,t3_Computer_Science,t3_Geography,t1_Literature_in_English,t1_Government,t1_CRS_IRK,t1_History,t1_Economics,t1_Yoruba_Hausa_Igbo,t2_Literature_in_English,t2_Government,t2_CRS_IRK,t2_History,t2_Economics,t2_Yoruba_Hausa_Igbo,t3_Literature_in_English,t3_Government,t3_CRS_IRK,t3_History,t3_Economics,t3_Yoruba_Hausa_Igbo,t1_Accounting,t1_Commerce,t1_Office_Practice,t1_Insurance,t2_Accounting,t2_Commerce,t2_Office_Practice,t2_Insurance,t3_Accounting,t3_Commerce,t3_Office_Practice,t3_Insurance
138,JSS2,N_A,average,69.27,73.51,63.73,68.84,91.99,Declining,92.8,53.4,63.4,88.7,76.0,52.0,78.4,57.0,90.6,67.3,67.5,44.2,82.0,65.7,61.2,89.2,67.2,67.7,92.0,62.2,89.9,50.4,75.2,79.4,83.8,73.5,72.7,79.2,56.7,65.7,38.6,56.7,62.1,51.0,59.8,64.9,71.07,63.77,72.95,Mathematics,83.8,Cultural_and_Creative_Arts,38.6,2,3,6,0,0,1,Business & Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,JSS2,N_A,high,88.97,83.69,82.21,84.96,94.2,Declining,100.0,85.4,100.0,87.1,71.5,85.0,89.0,91.3,92.4,74.8,100.0,91.1,91.3,100.0,77.6,77.2,87.1,76.0,92.1,91.6,65.4,86.5,81.0,78.5,83.7,100.0,86.6,77.3,83.2,69.9,83.9,69.2,70.8,81.3,90.3,90.3,79.83,87.07,77.25,English_Language,100.0,Computer_Studies,69.2,9,3,0,0,0,0,Medicine & Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,JSS2,N_A,average,60.68,68.25,63.55,64.16,93.76,Stable,58.0,92.6,54.1,65.6,63.9,50.4,89.8,50.2,45.0,46.1,57.5,54.9,65.0,91.1,43.5,100.0,60.6,47.0,68.4,63.5,65.5,76.5,69.8,68.1,68.0,76.1,63.8,76.4,46.7,70.6,83.3,56.7,46.4,50.3,60.1,64.2,62.83,78.6,57.2,Cultural_and_Creative_Arts,83.3,Business_Studies,46.4,3,2,5,2,0,0,Mass Communication & Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,JSS2,N_A,average,70.27,69.77,71.98,70.67,98.11,Stable,93.3,72.3,91.7,67.2,82.7,34.1,50.0,83.5,59.8,65.3,73.5,69.9,60.3,61.2,76.5,72.1,54.3,71.8,58.1,78.1,73.5,81.3,68.9,81.1,92.3,52.0,91.8,66.2,83.0,79.2,60.7,86.6,57.5,76.7,65.6,52.2,90.23,59.63,74.9,Mathematics,92.3,English_Language,52.0,6,2,4,0,0,0,Engineering & Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,JSS2,N_A,average,72.85,67.67,76.0,72.17,93.13,Stable,90.4,88.1,82.7,72.5,50.0,71.6,75.0,71.0,49.4,71.7,77.7,74.1,75.6,83.0,89.9,76.4,53.3,64.6,68.7,81.1,56.2,46.5,50.6,66.2,87.6,78.2,99.3,65.7,82.2,95.0,66.8,76.6,64.6,65.7,62.9,67.4,87.83,70.23,76.1,Basic_Science,99.3,Home_Economics,62.9,6,4,2,0,0,0,Medicine & Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,JSS2,N_A,average,62.35,64.23,63.47,63.35,98.46,Stable,81.4,63.3,51.0,74.9,62.8,46.3,55.9,56.0,75.8,76.0,60.0,44.8,71.7,53.5,64.8,86.9,55.6,57.8,70.0,48.4,89.1,48.8,63.4,60.8,78.3,46.0,69.2,71.2,75.0,71.3,69.8,61.1,59.0,56.4,47.6,56.7,69.53,62.33,68.65,Mathematics,78.3,English_Language,46.0,2,4,4,2,0,0,Entrepreneurship & Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,JSS2,N_A,average,69.92,71.58,69.56,70.35,98.24,Stable,98.4,95.2,69.0,56.7,67.8,55.8,56.1,57.9,67.3,68.0,76.3,70.5,72.1,92.0,79.5,56.1,57.5,84.5,59.0,78.0,84.2,68.6,67.9,59.5,81.7,63.6,87.8,51.2,85.5,78.8,82.5,74.2,51.7,67.4,40.8,69.5,81.23,65.77,66.7,Basic_Science,87.8,Home_Economics,40.8,5,3,3,0,1,0,Medicine & Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,JSS2,N_A,average,67.58,67.6,57.71,64.3,90.69,Declining,58.6,77.1,51.7,69.3,67.1,76.4,79.2,73.9,55.8,55.2,90.7,56.0,67.3,76.9,74.6,74.1,70.0,58.3,65.4,66.0,64.2,67.4,56.8,70.2,50.5,84.9,53.1,77.1,54.7,63.0,56.3,47.2,56.8,50.6,42.0,56.3,50.27,72.77,53.65,English_Language,84.9,Home_Economics,42.0,2,0,8,1,1,0,Mass Communication & Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,JSS2,N_A,high,78.88,80.58,80.2,79.89,98.54,Stable,77.8,97.1,71.2,86.5,84.1,77.2,86.7,75.8,69.8,78.4,54.2,87.8,77.3,92.7,83.3,100.0,92.6,84.8,82.7,74.4,75.3,64.9,56.4,82.5,75.0,86.5,77.9,87.0,93.6,90.9,91.2,77.8,65.9,59.6,75.3,81.7,76.9,88.23,70.45,Civic_Education,93.6,Agricultural_Science,59.6,10,1,1,0,0,0,Law & Social Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,JSS2,N_A,average,66.87,64.29,72.25,67.8,93.37,Improving,72.9,51.6,90.6,64.3,60.8,69.1,74.9,72.6,63.2,68.7,51.9,61.8,63.6,51.5,87.1,52.7,53.7,77.8,54.5,70.0,53.8,53.8,79.7,73.3,84.9,58.0,84.4,82.1,72.5,67.4,67.9,91.9,53.2,70.1,77.8,56.8,87.07,69.33,69.05,Computer_Studies,91.9,Business_Studies,53.2,5,4,3,0,0,0,Computer Science & IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,JSS2,N_A,average,72.31,69.43,71.86,71.2,97.47,Stable,99.3,84.8,92.7,86.9,63.5,91.1,55.4,56.0,58.9,59.9,44.6,74.6,99.7,61.7,78.5,69.0,67.6,82.6,60.7,73.0,45.4,68.9,54.7,71.4,73.8,74.0,94.7,83.3,79.0,74.3,65.8,62.4,70.4,77.0,46.1,61.5,76.97,74.37,72.1,Basic_Science,94.7,Home_Economics,46.1,4,5,2,1,0,0,Medicine & Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,JSS2,N_A,high,82.43,81.59,86.3,83.44,95.9,Stable,92.3,86.0,100.0,72.0,89.5,89.7,92.1,72.6,66.3,90.9,65.1,72.7,93.4,100.0,100.0,74.3,73.9,87.0,60.3,69.4,100.0,62.4,78.8,79.6,100.0,100.0,100.0,87.9,81.0,76.8,67.9,97.7,82.5,63.7,78.8,99.3,99.23,85.27,91.25,Mathematics,100.0,Agricultural_Science,63.7,10,1,1,0,0,0,Medicine & Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,JSS2,N_A,average,61.48,66.77,66.66,64.97,95.06,Improving,66.6,72.1,32.4,88.2,53.3,59.5,58.1,62.2,59.6,67.9,57.3,60.6,72.1,69.8,60.1,79.8,69.4,42.0,61.8,81.5,68.4,84.6,58.8,52.9,63.7,61.5,48.7,74.2,92.7,53.8,92.9,61.5,72.1,64.1,48.6,66.1,57.97,76.2,67.9,Cultural_and_Creative_Arts,92.9,Home_Economics,48.6,2,3,5,2,0,0,Mass Communication & Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,JSS2,N_A,average,66.22,65.22,66.08,65.84,99.12,Stable,49.2,71.1,80.6,92.1,58.7,74.6,54.5,54.5,81.0,73.3,58.3,46.7,66.3,67.5,70.1,78.1,63.6,64.7,70.2,47.7,65.8,69.8,49.6,69.2,51.8,88.8,65.9,70.9,56.9,65.5,46.1,56.3,54.1,100.0,75.7,60.9,58.0,68.6,52.95,Agricultural_Science,100.0,Cultural_and_Creative_Arts,46.1,3,3,5,1,0,0,Agriculture & Environmental Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,JSS2,N_A,high,77.66,78.48,77.41,77.85,99.09,Stable,79.8,87.9,74.7,93.2,89.8,69.2,92.9,77.8,75.1,62.3,63.8,65.4,86.1,88.1,69.8,75.0,100.0,71.6,76.7,54.9,81.8,82.9,72.4,82.4,59.6,79.8,86.8,95.6,85.1,67.8,91.3,91.0,62.8,76.6,63.7,68.8,79.13,88.9,61.2,Social_Studies,95.6,Mathematics,59.6,7,2,3,0,0,0,Law & Social Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,JSS2,N_A,high,81.07,82.87,82.31,82.08,98.5,Stable,100.0,68.1,72.1,87.3,66.5,77.8,60.6,90.0,100.0,76.6,93.5,80.3,100.0,69.2,86.4,98.9,88.8,62.5,88.9,75.6,98.2,73.4,78.2,74.3,85.2,77.8,61.5,91.4,76.5,78.5,83.8,98.3,91.9,84.5,88.8,69.5,81.67,84.33,88.55,Computer_Studies,98.3,Basic_Science,61.5,10,1,1,0,0,0,Business & Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,JSS2,N_A,average,63.49,60.73,59.91,61.38,96.94,Stable,79.5,71.6,66.2,54.7,64.6,58.3,69.0,37.8,54.8,71.7,56.1,77.6,64.3,60.7,51.7,62.7,59.0,45.6,70.5,65.9,67.5,44.7,72.2,64.0,72.7,63.5,78.7,56.7,70.5,52.6,58.7,57.5,52.5,63.7,63.2,28.6,69.63,59.63,62.6,Basic_Science,78.7,French,28.6,1,2,8,0,0,1,Education & Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,JSS2,N_A,high,78.03,70.92,76.08,75.01,94.0,Stable,78.5,78.1,91.2,86.2,77.1,70.3,73.3,76.1,68.8,87.4,79.3,70.1,84.3,61.2,79.1,87.5,59.8,71.9,58.9,70.7,58.8,94.3,58.9,65.6,84.5,81.9,86.2,80.0,71.1,71.0,70.6,67.4,67.9,84.7,75.2,72.5,79.37,77.5,76.2,Basic_Science,86.2,Computer_Studies,67.4,6,6,0,0,0,0,Agriculture & Environmental Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,JSS2,N_A,high,78.57,81.71,79.0,79.76,97.22,Stable,88.8,83.9,84.1,87.3,80.4,59.1,54.3,74.2,100.0,69.4,77.4,83.9,86.6,87.3,84.7,91.0,70.6,96.9,79.4,73.0,89.7,76.1,65.4,79.8,90.0,55.0,87.6,100.0,64.1,77.8,77.2,79.6,100.0,65.5,79.4,71.8,85.73,77.4,95.0,Social_Studies,100.0,English_Language,55.0,8,2,2,0,0,0,Business & Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,JSS2,N_A,average,67.3,70.36,68.31,68.66,97.45,Stable,57.9,87.5,75.6,88.8,82.9,55.1,51.8,78.8,60.7,48.4,49.5,70.6,57.9,92.8,74.2,91.0,78.7,68.5,72.5,57.6,71.5,60.5,60.6,58.5,57.2,83.0,55.6,73.1,87.4,77.1,74.2,41.3,68.6,49.1,85.1,68.0,51.37,76.77,62.9,Civic_Education,87.4,Computer_Studies,41.3,4,4,2,1,1,0,Law & Social Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,JSS2,N_A,high,76.67,73.77,77.62,76.02,96.72,Stable,77.5,83.3,75.5,77.1,84.0,68.0,89.2,65.9,70.9,73.1,73.6,81.9,75.4,97.1,76.8,70.0,75.7,63.7,70.7,81.6,73.5,61.8,71.7,67.2,84.3,100.0,75.5,90.0,76.3,71.4,80.7,75.5,64.6,68.8,76.4,67.9,78.43,90.23,74.45,English_Language,100.0,Business_Studies,64.6,8,3,1,0,0,0,Mass Communication & Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,JSS2,N_A,average,71.34,62.93,65.24,66.5,92.9,Declining,87.7,65.0,72.8,77.6,71.5,71.6,56.6,61.7,84.5,71.4,60.6,75.1,59.6,65.9,68.8,83.7,53.2,64.4,69.1,59.0,76.4,63.6,44.0,47.5,39.8,70.1,56.0,80.3,72.5,64.9,59.2,66.1,65.9,64.9,90.1,53.1,53.97,69.87,52.85,Home_Economics,90.1,Mathematics,39.8,2,4,5,0,0,1,Entrepreneurship & Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,JSS2,N_A,high,76.18,78.67,77.62,77.49,97.96,Stable,94.7,79.5,77.6,91.2,73.8,61.0,63.3,76.7,74.4,77.9,79.4,64.7,68.3,79.3,81.2,90.5,75.0,83.6,76.2,68.8,82.3,76.7,71.0,91.1,96.9,89.3,62.8,86.9,65.1,65.9,72.1,86.6,100.0,81.9,71.9,52.0,82.1,82.77,98.45,Business_Studies,100.0,French,52.0,6,4,2,0,0,0,Entrepreneurship & Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,JSS2,N_A,low,49.02,53.06,49.38,50.49,96.35,Stable,43.1,58.6,48.4,62.0,50.6,63.9,55.8,49.9,42.0,43.2,33.0,37.7,38.8,77.3,42.3,66.8,63.3,38.5,41.1,64.4,54.2,66.7,41.3,42.0,46.8,62.5,32.1,77.8,22.5,51.6,71.2,36.5,49.3,38.4,49.6,54.3,38.47,70.5,48.05,Social_Studies,77.8,Civic_Education,22.5,1,1,3,3,0,4,Mass Communication & Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,JSS2,N_A,high,74.47,79.25,80.59,78.1,94.75,Improving,97.6,76.9,60.8,69.9,66.5,71.3,81.9,66.3,97.4,71.5,67.1,66.4,93.4,84.4,79.7,83.5,70.4,68.6,68.8,80.2,96.6,72.5,71.3,81.6,100.0,68.4,77.3,91.9,75.2,73.4,73.0,89.5,100.0,77.5,59.8,81.1,88.93,77.77,100.0,Mathematics,100.0,Home_Economics,59.8,8,3,1,0,0,0,Entrepreneurship & Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,JSS2,N_A,low,59.75,64.93,58.78,61.15,94.6,Stable,94.5,57.5,74.7,50.2,47.6,61.1,45.7,71.3,62.4,44.2,53.2,54.6,90.2,63.9,68.4,78.9,65.3,61.5,52.3,79.6,48.8,57.1,68.8,44.4,72.0,39.2,76.6,56.2,56.4,54.1,53.5,50.0,59.6,50.9,71.7,65.2,66.2,49.63,65.8,Basic_Science,76.6,English_Language,39.2,1,3,7,0,0,1,Engineering & Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,JSS2,N_A,high,76.74,71.44,74.28,74.15,95.67,Stable,74.8,81.9,87.3,64.8,76.2,56.9,74.8,95.4,84.1,74.2,82.9,67.6,79.0,73.8,89.4,39.7,77.3,60.2,62.1,95.5,61.4,66.7,81.7,70.5,96.6,92.6,79.2,51.9,57.5,71.9,88.3,97.0,61.9,66.7,65.8,62.0,90.93,77.6,79.25,Computer_Studies,97.0,Social_Studies,51.9,5,3,4,0,0,0,Computer Science & IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,JSS2,N_A,average,69.99,69.21,62.01,67.07,92.82,Declining,78.2,59.3,78.9,58.2,48.0,46.1,78.1,94.9,70.8,82.3,66.9,78.2,83.9,63.6,62.1,77.8,68.6,68.6,50.7,78.0,61.7,73.4,65.5,76.6,60.4,58.3,85.9,52.8,59.4,40.4,49.9,80.3,55.4,78.1,64.6,58.6,75.53,53.67,57.9,Basic_Science,85.9,Physical_Education,40.4,3,0,7,1,1,0,Computer Science & IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,JSS2,N_A,high,80.33,80.87,82.73,81.31,97.94,Stable,100.0,86.5,94.6,48.6,79.4,77.1,82.7,96.3,62.1,91.8,81.1,63.7,100.0,84.7,100.0,69.1,65.0,83.3,75.0,100.0,83.2,77.8,58.2,74.1,95.0,73.3,100.0,85.4,79.8,65.3,84.7,100.0,79.9,73.1,75.2,81.0,98.33,81.13,87.45,Basic_Science,100.0,Physical_Education,65.3,9,3,0,0,0,0,Engineering & Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,JSS2,N_A,low,55.46,56.53,52.01,54.67,96.14,Stable,58.4,56.9,35.8,71.1,55.9,58.9,56.4,54.0,60.9,56.2,43.2,57.8,61.9,68.8,38.7,77.5,48.9,59.0,53.7,55.4,67.1,43.9,51.0,52.5,71.8,60.4,24.6,67.3,52.5,39.8,39.6,38.7,74.0,59.1,56.0,40.3,45.03,55.77,72.9,Business_Studies,74.0,Basic_Science,24.6,0,3,4,0,1,4,Entrepreneurship & Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
